MSBNK-mFam-MC01_000001,CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,25-Hydroxycholesterol,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000002,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,Campesterol,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000003,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,Corticosterone,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000004,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,6-alpha-methylprednisolone,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000005,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,Ergocalciferol,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000006,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,Abietic_acid,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000007,CC1=CC(=O)C2CC1C2(C)C,1s-(-)-Verbenone,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000008,CC1(C2CCC1(C(C2)O)C)C,(-)-Borneol,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000009,CC1(C2CCC(C1C2)(C)O)C,cis-Pinan-2-ol,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000010,C1CC=CC(=O)C1,2-cyclohexen-1-one,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000011,CC(=CCCC(C)(C=C)O)C,(-)-linalool,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000012,CC(=CCCC(=CC=O)C)C,Citral,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000013,CC1(C2CCC1(C(C2)O)C)C,(+)-Borneol,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000014,CC(=CCCC(=C)C=C)C,Myrcene,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000015,CC1(C2CCC(C2)(C1O)C)C,(+)-Fenchol,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000016,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)O)C)C)C)NC1,Tomatidine,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000017,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,Vitamin_D3_(Cholecalciferol),ION_MODE NEGATIVE
MSBNK-mFam-MC01_000018,O=C1CC[C@@]2(C)[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]([H])3C[C@@]([H])(O[C@@](C[C@H](C)CN6C(OCC7=CC=CC=C7)=O)(O)[C@@]6([H])[C@H]5C)[C@]54[H])([H])C1,"N-Cbz-22,26-epimino-23alphaOH, 16beta, 23-epoxy-5alpha, 22alphaH, 25betaH-cholestan-3-on",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000019,O=C1CC[C@@]2(C)[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]([H])3C[C@]([H])(O[C@](C[C@@H](C)CN6C(OCC7=CC=CC=C7)=O)(OC)[C@@]6([H])[C@H]5C)[C@]54[H])([H])C1,"N-Benzyloxycarbonyl-22,26-epimino-23beta-methoxy-16beta,23-epoxy-5alpha,22alphaH,25alphaH-cholestan-3-on",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000020,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]([H])3C[C@@]([H])(O[C@](C[C@@H](C)CN6C(OCC7=CC=CC=C7)=O)(O)[C@@]6([H])[C@H]5C)[C@]54[H])([H])C[C@@H](OC(C)=O)CC1,"benzyl (2aS,4S,6aS,6bS,8aS,8bR,9S,9aR,12R,13aS,14aR,15aS,15bR)-4-acetoxy-13a-hydroxy-6a,8a,9,12-tetramethyldocosahydronaphtho[2'',1'':4',5']indeno[1',2':5,6]pyrano[3,2-b]pyridine-10(1H)-carboxylate",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000021,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](O)[C@]4([H])[C@H](C)[C@@H]5CC[C@H](C)CN5)([H])C[C@@H](O)CC1,"(3S,5S,8R,9S,10S,13S,14S,16R,17R)-10,13-dimethyl-17-((S)-1-((2S,5S)-5-methylpiperidin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000022,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](O)[C@]4([H])[C@H](C)[C@@H]5CC[C@H](C)CN5N=O)([H])C[C@@H](O)CC1,"(3S,5S,8R,9S,10S,13S,14S,16R,17R)-10,13-dimethyl-17-((S)-1-((2S,5S)-5-methyl-1-nitrosopiperidin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000023,C[C@H](CN1)CC[C@H]1[C@@H](C)[C@@]2([H])[C@@H](O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(3S,5S,8R,9S,10S,13S,14S,16S,17R)-10,13-dimethyl-17-((S)-1-((2S,5S)-5-methylpiperidin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000024,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@H](OC(C)=O)[C@]4([H])[C@H](C)[C@@H]5C(C[C@@H](C)CN5)=O)([H])C[C@@H](OC(C)=O)CC1,"(3S,5S,8R,9S,10S,13S,14S,16S,17R)-10,13-dimethyl-17-((S)-1-((2R,5R)-5-methyl-3-oxopiperidin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diyl diacetate",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000025,C[C@@H](CN1)CC[C@@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(3S,5S,8R,9S,10S,13S,14S,17S)-17-((R)-1-hydroxy-1-((2R,5R)-5-methylpiperidin-2-yl)ethyl)-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-3-yl acetate",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000026,C[C@@H](CN1)CC[C@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22S,25R)-3beta-Acetoxy-22,26-epimino-5alpha-cholestan-20-ol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000027,C[C@H](CN1)CC[C@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22S,25S)-3beta-Acetoxy-22,26-epimino-5alpha-cholestan-20-ol",ION_MODE NEGATIVE
MSBNK-mFam-MC01_000028,C[C@H](CN1C(C)=O)CC[C@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(20R,22S,25S)-3beta-Acetoxy-22,26-acetimino-5alpha-cholestan-20-ol",ION_MODE NEGATIVE
